register_id,variable_name,description_dk,start_year,end_year,variable_times_url,variable_hkd_url
AKM,ALDER_ULT_INK,"Personens alder på referenecetidspunktet, 31. 12. det pågældende år",1991,2018,NA,NA
AKM,ANT_ANSAT_ARBSTED,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),2006,2013,NA,NA
AKM,ANT_ANSAT_ARBSTED_13,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),2010,2018,NA,NA
AKM,ANT_ANSAT_SENR,Antal ansatte for væsentligste beskæftigelse (AKM),1976,2005,NA,NA
AKM,ATPSUM2,Beskæftigelsesmål baseret på ATP- indbetalinger (AKM),1976,2010,NA,NA
AKM,BESKST,Beskæftigelsesstatus 1980 til 2001 (Indkomst/AKM),1976,2001,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST
AKM,BESKST02,Beskæftigelsesstatus fra 2002 (Indkomst/AKM),2002,2013,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST02,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST02
AKM,BESKST13,Kode for personens væsentligste indkomst-kilde (INDKOMST/AKM),1991,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST13
AKM,BRANCHE_77,Dansk branchekode 1977 til 1993 (AKM),1980,1999,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BRANCHE-77,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BRANCHE-77
AKM,BRCHI,Branchekode for indehaver,1976,2002,NA,NA
AKM,BRCHL,Branchekode for lønmodtager,1976,1999,NA,NA
AKM,CPRTJEK,CPR-tjek,1991,2018,NA,NA
AKM,CPRTYPE,CPR-type,1991,2018,NA,NA
AKM,DISCO08_ALLE_INDK,"Fagklassifikation for beskæftigelsesforhold, fra 2010 (AKM)",2010,2013,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCO08-ALLE-INDK,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/DISCO08-ALLE-INDK
AKM,DISCO08_ALLE_INDK_13,Fagkode for væsentligste beskæftigelse i året- fra 2010 (AKM),2010,2018,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/DISCO08-ALLE-INDK-13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/DISCO08-ALLE-INDK-13
AKM,DISCO08_LOEN_INDK,Fagkode for væsentligste lønmodtagerbeskæftigelse i året. (AKM),2010,2018,NA,NA
AKM,DISCO08_SEL_INDK,Fagkode for arbejde i selvstændig virksomhed (AKM),2010,2018,NA,NA
