rowid,name,value,name_english,value_english
1,kendte_databrud_aendringer,"Ændringer i definitionenDen tilgrundliggende dødsårsag har igennem hele Dødsårsagsregisterets levetid bevaret samme definition. Der kan forekomme større eller mindre databrud af følgende grunde:1.Skift i klassifikation: Fra 1970 og frem til 1993 er WHO’s sygdomsklassifikation ICD8 blevet anvendt i Danmark ved udfyldelse af dødsattester. Fra 1994 og frem er ICD10 i anvendelse. Dette brud i klassifikationen gør det vanskeligt at lave direkte sammenligninger på detaljeniveau for registerdata mellem perioden 1970 til 1993 og perioden fra 1994 og frem. 2.Obduktioner: Den 1. juli 1990 blev ligsynsloven ændret, hvor der blev indført et krav om samtykke. Den nye ligsynslov krævede, at de efterladte udtrykkeligt sagde Ja til obduktion, eller at den afdøde tidligere klart havde givet accept (under forudsætning af pårørendes accept) . Dette medførte et brat fald i antallet af obduktioner i forhold til tidligere år. I andet halvår af 1990 blev således kun 16 pct. af dødsfaldende efterfulgt af en obduktion. Dette skal sammenlignes med en procent på 24 i første halvår af 1990. Obduktionsfrekvensen faldt ikke yderligere i 1991, idet frekvensen for hele året var 16 pct. som i andet halvår 1990. De retslægelige obduktioner har ligget konstant i hele perioden fra 1970 til 1991 på mellem 2 og 3 pct. af samtlige dødsfald. Det konstaterede fald i obduktionsfrekvensen skyldes udelukkende et fald i de lægelige obduktioner. Faldet i obduktionsfrekvensen har varieret for aldersgrupper, amtskommuner og dødsårsagsdiagnoser. Obduktionsfrekvensen efter dødsfald hos børn og unge har holdt sig konstant på trods af kravet om samtykke . Den lave obduktionsrate vil ved visse uventede dødsfald og dødfundne bidrage til forklaring på, hvorfor dødsfaldene er registeret som uoplyst dødsårsag. En tidligere vurdering af denne gruppe dødsfald har vist, at med mindre der foretages obduktion, vil der hyppigst være en overregistrering af hjertesygdom som dødsårsag. I 1996 har man foretrukket at angive, at dødsårsagen var uoplyst . Dette kan være forklaringen på den meget høje andel af mangelfuld dødsårsag i 1996..3.Manglende indhentning af supplerende oplysninger. Igennem alle år er der blevet indhentet supplerende oplysninger om dødsårsagen fra den attestudstedende læge. I perioden fra 1970 til 2001 har denne andel ligget mellem 5-10 pct. 4.Rækkefølgen af anførte diagnoser på dødsattesten er forkert i ca. 10 pct. af tilfældene for dødsattester i perioden 1980-1995. Ligeså hyppigt mangler oplysninger om sygdommes varighed og om resultaterne af en evt. obduktion. 5.Dødsfald med uoplyst dødsårsag i 1996I 1996 var antallet af dødsfald kodet som uoplyst dødsårsag eller som dårligt definerede tilstande eller symptomer særdeles højt, i alt ca. 5.000 dødsfald. Dødsfaldene omfatter gruppen af dødfundne, der ikke har haft kontakt til pårørende eller læge forud for dødsfaldet, og hvor der derfor er meget få eller ingen oplysninger om evt. sygdom, Gruppen består desuden af pludseligt indtrufne dødsfald, hvor der forud for dødsfaldet ikke har været nogen sygdomssymptomer. Der er betydelige regionale forskelle i andelen af dødsfald klassificeret som uoplyst dødsårsag. Fordelingen fremgår af publikationen Dødsårsagerne 1996, del 1.",known_data breaks_changes,"Changes in the definition The underlying cause of death has throughout the lifetime of the Cause of Death Register retained the same definition. There may be major or minor data breaks for the following reasons: 1. Change in classification: From 1970 until 1993, the WHO disease classification ICD8 has been used in Denmark When completing death certificates.From 1994 onwards, ICD10 is in use.This breach in the classification makes it difficult to make direct comparisons at the level of detail of register data between the period 1970 to 1993 and the period from 1994 onwards. The new Supervision Act required the survivors to explicitly say Yes to the autopsy, or that the deceased had previously clearly given consent (subject to the relatives' acceptance). decrease in the number of autopsies compared to previous years, so in the second half of 1990 only 16 per cent of fatal followed by an autopsy. This is to be compared with a percentage of 24 in the first half of 1990. The autopsy frequency did not decrease further in 1991, as the frequency for the whole year was 16 per cent. as in the second half of 1990. The forensic autopsies have been constant throughout the period from 1970 to 1991 at between 2 and 3 per cent. of all deaths. The observed decrease in the frequency of autopsies is solely due to a decrease in the medical autopsies. The decrease in the autopsy frequency has varied for age groups, county municipalities and cause of death diagnoses. The frequency of autopsies after deaths in children and adolescents has remained constant despite the requirement for consent. The low autopsy rate in the case of certain unexpected deaths and deaths will contribute to an explanation as to why the deaths are registered as an undisclosed cause of death. An earlier assessment of this group of deaths has shown that unless an autopsy is performed, there will most often be an over-registration of heart disease as the cause of death. In 1996, it has been preferred to state that the cause of death was undisclosed. This may be the explanation for the very high proportion of defective cause of death in 1996..3.Failure to obtain additional information. Throughout the years, additional information on the cause of death has been obtained from the attending physician. In the period from 1970 to 2001, this share has been between 5-10 per cent. 4. The order of stated diagnoses on the death certificate is incorrect for approx. 10 pct. of the cases of death certificates in the period 1980-1995. Just as often, information is missing about the duration of diseases and about the results of a possible autopsy. 5. Deaths with undisclosed cause of death in 1996In 1996, the number of deaths coded as undisclosed cause of death or as poorly defined conditions or symptoms was extremely high, a total of approx. 5,000 deaths. The deaths include the group of dead found who have not had contact with relatives or a doctor prior to the death, and where there is therefore very little or no information about any. disease, The group also consists of sudden deaths, where prior to the death there have been no disease symptoms. There are significant regional differences in the proportion of deaths classified as an undisclosed cause of death. The distribution appears from the publication The Causes of Death 1996, part 1. "
2,kendte_databrud_aendringer,"Året 1980 adskiller sig fra de øvrige år, idet der udover værdier mellem 0-9 optræder værdier over 10.",known_data breaks_changes,"The year 1980 differs from the other years, in that in addition to values ​​between 0-9 values ​​above 10."
3,kendte_databrud_aendringer,"Den automatiske kodning blev anvendt fra dataåret 2002. Siden 2013 anvendes de bagliggende ACME-tabeller, der danner grundlag for IRIS.Årgangene 2002-2004 blev efter aftale kodet hos Kræftens Bekæmpelse og herefter er den tilgrundliggende dødsårsag fastslået af ACME. Data for alle 3 årgange er dog efterfølgende manuelt valideret af dengang Sundhedsstyrelsen. Årgang 2002 indeholder 59.688 attester, hvoraf 10.006 attester allerede var indtastet i SEI og kodet af Sundhedsstyrelsen. Årgang 2003 og 2004 omfatter hhv. 58.835 og 57.559 attester. Antallet af attester, der er blevet kodet af kodepersonale fra SST udgjorde omkring 8 pct., mens resten er blevet kodet af personale fra KB. I perioden 2002-2004 er der ikke i samme omfang blevet rykket for manglende attester. Der er ligeledes for disse årgange ikke foretaget det normale opfølgende arbejde på enkeltsager over for de indberettende læger, og specielt ikke indhentet retspatologiske rapporter. Der er derfor i disse årgange en underrepræsentation af narkotikadødsfald og dødsfald som følge af forgiftninger.Kodereglerne opdateres med jævne mellemrum og i takt med regelændringer i WHO, hvilket kan have betydet databrud for enkelte specifikke koder. Disse er imidlertid implementeret i Danmark (og i ACME) i meget uens takt og omfang, så det i praksis ikke er muligt at skaffe præcist overblik over alle ændringer i kodepraksis bagud i tid. Specifikt kan dog nævnes opdateringer af ICD-10 klassifikationen for området inden for gruppen af uheld under kirurgisk og medicinsk behandling, hvor ændrede koderegler blev indført i 2007 med databrug til følge. For perioden 2002-2014 er der enkelte tilpasninger af den internationale klassifikation. En liste over de nationale koder, der er anvendt i denne periode, og som ikke fremgår af ICD-10 klassifikationen fremgår af bilag A. Der er tale om koder, hvor WHO kun benytter tre cifrede, men hvor der i Dødårsagsregisteret indgår 4 cifre, hvor det fjerde cifre er et 9 tal.Udover ovennævnte koder, er der to koder i Dødsårsagsregisteret, som ikke indgår i WHO. Det drejer sig om koderne D386 og R990. Kode D386: Svulst i luftveje af usikker karakter, som har været muligt at anvende i Dødsårsagsregisteret siden 2007.Værdien optræder kun en enkelt gang i 2009 og fire gange i 2014.Kode R990 anvendes i registeret siden 2002 og frem og angiver, at dødsattesten ikke er blevet modtaget. Da Sundhedsdatastyrelsen stadig modtager attester bagud i tid, vil forekomsten af værdien R990 ændre sig ved næstkommende opdatering af registeret for de seneste år.",known_data breaks_changes,"The automatic coding was used from the data year 2002. Since 2013, the underlying ACME tables are used, which form the basis for IRIS. The years 2002-2004 were coded by agreement with the Danish Cancer Society and then the underlying cause of death is determined by ACME. Data for all 3 cohorts were subsequently manually validated by the then National Board of Health, year 2002 contains 59,688 certificates, of which 10,006 certificates were already entered in SEI and coded by the National Board of Health, years 2003 and 2004 include 58,835 and 57,559 certificates, respectively. has been coded by coding staff from SST accounted for about 8 per cent, while the rest has been coded by staff from KB In the period 2002-2004, no lack of certificates has been moved to the same extent. follow-up work on individual cases to the reporting doctors, and in particular did not obtain forensic pathological reports. these cohorts an under-representation of drug deaths and deaths due to poisoning.The code rules are updated periodically and in line with rule changes in the WHO, which may have meant data breaches for some specific codes. However, these have been implemented in Denmark (and in ACME) at a very different pace and scope, so that in practice it is not possible to obtain an accurate overview of all changes in code practice backwards in time. Specifically, however, there are updates of the ICD-10 classification for the area within the group of accidents during surgical and medical treatment, where changed code rules were introduced in 2007 with data use as a result. For the period 2002-2014, there are some adjustments to the international classification. A list of the national codes used during this period, which do not appear in the ICD-10 classification, is given in Appendix A. These are codes where the WHO uses only three digits, but where the Cause of Death Register includes 4 digits, where the fourth digit is a 9 number. In addition to the above codes, there are two codes in the Cause of Death Register which are not included in the WHO. These are the codes D386 and R990. Code D386: Tumor in airways of uncertain nature, which has been possible to use in the Cause of Death Register since 2007. The value appears only once in 2009 and four times in 2014. Code R990 is used in the register since 2002 and onwards and states that the death certificate does not has been received. As the Danish Health and Medicines Authority still receives certificates back in time, the occurrence of the value R990 will change at the next update of the register for recent years. "
4,kendte_databrud_aendringer,"Der er data til og med 2006, hvorefter amterne i forbindelse med strukturreformen ophørte.Indtil da er der ingen kendte databrud.Fra 2007 er værdien 0, dog med en enkel observation i 2010 med kode 65.",known_data breaks_changes,"There are data up to and including 2006, after which the counties in connection with the structural reform ceased. Until then, there are no known data breaks. From 2007 the value is 0, however with a simple observation in 2010 with code 65. "
5,kendte_databrud_aendringer,"Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt for attestens side 2 (dødsårsagerne), bliver attestens side 1 - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk form, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009. Data er således ukomplette for åren 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne, Bemærk desuden, at i perioden 2002-2006 regnes hospice som et plejehjem og er derfor angivet som eget hjem . Fra 2007 og frem regnes hospice som et sygehus.",known_data_breaks_changes,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper. Although the proportion of electronic reports has increased significantly since Page 2 (the causes of death), the page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version. For the period 2007 to 2012, 20-25 per cent of page 1 of the death certificate is missing in electronic form, where information on place of death or whereabouts is stated. An exception to this was 2009. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. the period 2002-2006, hospice is considered a nursing home and is therefore listed as “own home. From 2007 onwards, hospice is considered a hospital. "
6,kendte_databrud_aendringer,"Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt for attestens side 2 (dødsårsagerne), bliver attestens side 1 - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk form, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009. Data er således ukomplette for årene 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne.I år 2005 forekommer værdien . i 491 tilfælde.",known_data_cruptions_changes,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper. Although the proportion of electronic reports has increased significantly since Page 2 (the causes of death), the page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version. For the period 2007 to 2012, 20-25 per cent of page 1 of the death certificate is missing in electronic form, where information on place of death or whereabouts is stated. An exception to this was 2009. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. . in 491 cases. "
7,kendte_databrud_aendringer,"Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt for attestens side 2 (dødsårsagerne), bliver attestens side 1 - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009.Data er således ukomplette for årene 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne.Bemærk, desuden, at i perioden 2002-2006 regnes hospice som et plejehjem og er derfor angivet som eget hjem . Fra 2007 og frem regnes hospice som et sygehus.",known_data_cruptions_changes,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper form. Page 2 (the causes of death), the page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version. For the period 2007 to 2012, 20-25 per cent of page 1 of the death certificate is missing in electronically, where information on place of death or whereabouts is stated.An exception to this was 2009.Data is thus incomplete for the years 2007-2008, 2010 and onwards. the period 2002-2006, hospice is considered a nursing home and is therefore listed as “own home. From 2007 onwards, hospice is considered a hospital. "
8,kendte_databrud_aendringer,"Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt og for attestens side 2 (dødsårsagerne), bliver attestens side 1 - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk form, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009.Data er således ukomplette for årene 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne.Bemærk desuden, at i perioden 2002-2006 regnes hospice som et plejehjem og er derfor angivet som eget hjem . Fra 2007 og frem regnes hospice som et sygehus.",known_data_cruptions_changes,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper form. the certificate's 'page 2' (the causes of death), the certificate's 'page 1' - which among other things contains information about place of death or whereabouts - is still often only reported in paper version. in electronic form, where information on place of death or whereabouts is stated. An exception to this was 2009. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. in the period 2002-2006, hospice is considered a nursing home and is therefore listed as “own home. From 2007 onwards, hospice is considered a hospital. "
9,kendte_databrud_aendringer,Der optræder kun værdier i årene 1999-2001,known_data breaks_changes,Only values ​​appear in the years 1999-2001 
10,kendte_databrud_aendringer,Det er obligatorisk at indberette aflyste operationer planlagt til gennemførelse i perioden 1. januar 1999- 1. oktober 2006.,known_data_breaks_changes,It is mandatory to report canceled operations planned for implementation in the period 1 January 1999- 1 October 2006. 
