use_in_application,reason_for_use,register_id,register_name_dk,register_name_english,variable_name,description_dk,description_english,register_start_year,register_start_month,register_last_year,register_last_month,date_last_update,variable_start_year,variable_end_year,register_url,variable_times_url,variable_hkd_url
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,ALDER_ULT_INK,"Personens alder på referenecetidspunktet, 31. 12. det pågældende år","Age of the person at the time of reference, 31. 12. year in question",1976,,2018,,21/11/2019,1991,2018,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,ANT_ANSAT_ARBSTED,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),Number of employees for most important workplace (counting of employees takes place for each workplace under SENR (AKM),1976,,2018,,21/11/2019,2006,2013,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,ANT_ANSAT_ARBSTED_13,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),Number of employees for most important workplace (counting of employees takes place for each workplace under SENR (AKM),1976,,2018,,21/11/2019,2010,2018,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,ANT_ANSAT_SENR,Antal ansatte for væsentligste beskæftigelse (AKM),Number of employees for main employment (AKM),1976,,2018,,21/11/2019,1976,2005,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,ATPSUM2,Beskæftigelsesmål baseret på ATP- indbetalinger (AKM),Employment targets based on ATP payments (AKM),1976,,2018,,21/11/2019,1976,2010,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,BESKST,Beskæftigelsesstatus 1980 til 2001 (Indkomst/AKM),Employment status 1980 to 2001 (Income / AKM),1976,,2018,,21/11/2019,1976,2001,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,BESKST02,Beskæftigelsesstatus fra 2002 (Indkomst/AKM),Employment status from 2002 (Income / AKM),1976,,2018,,21/11/2019,2002,2013,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST02,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST02
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,BESKST13,Kode for personens væsentligste indkomst-kilde (INDKOMST/AKM),Code for the person's main source of income (INCOME / AKM),1976,,2018,,21/11/2019,1991,2018,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BESKST13,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BESKST13
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,BRANCHE_77,Dansk branchekode 1977 til 1993 (AKM),Danish industry code 1977 to 1993 (AKM),1976,,2018,,21/11/2019,1980,1999,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,https://www.dst.dk/da/Statistik/dokumentation/Times/Personindkomst/BRANCHE-77,https://dst.dk/da/TilSalg/Forskningsservice/Dokumentation/hoejkvalitetsvariable/Personers-tilknytning-til-arbejdsmarkedet-set-over-hele-aaret--AKM-/BRANCHE-77
,,AKM,Arbejdsklassifikationsmodulet,The work classification module,BRCHI,Branchekode for indehaver,Industry code for holder,1976,,2018,,21/11/2019,1976,2002,https://www.dst.dk/extranet/ForskningVariabellister/AKM%20-%20Arbejdsklassifikationsmodulet.html,,
