use_in_application,reason_for_use,register_name,table_name,variable_name,variable_description,periode,known_data_break_changes,kendte_databrud_aendringer,variablebeskrivelse
1,Register linkage,Dødsårsagsregisteret,t_dodsaarsag_1,k_cpr,Deceased's CPR number.,1970-2001,,,Afdødes CPR nummer.
1,To determine whether the parents died during an individual's early life and childhood/ascertain date of death,Dødsårsagsregisteret,t_dodsaarsag_1,d_dodsdto,Date of the person's death.,1970-2001,,,Dato for vedkommendes død.
1,To validate with other data from other registries and sources.,Dødsårsagsregisteret,t_dodsaarsag_1,v_alder,Indicates the age in whole years of the deceased on his death or find date.,1970-2001,,,Angiver alderen i hele år på afdøde på dennes døds- eller findedato.
1,To know sex of individual who died (e.g. for determining parent sex).,Dødsårsagsregisteret,t_dodsaarsag_1,c_sex,Indicates the sex of the deceased.,1970-2001,,,Angiver den afdødes køn.
1,To link with parental and marital status.,Dødsårsagsregisteret,t_dodsaarsag_1,c_civstd,Indicates the marital status of the deceased.,1970-2001,,,Angiver den afdødes civilstand.
1,An approximate indicator for potentially higher trauma experienced from parental death if death occurred close to child's residence.,Dødsårsagsregisteret,t_dodsaarsag_1,c_bopkom,The municipality in which the deceased resided.,1970-2001,,,Kommunen hvori den afdøde havde bopæl.
1,To validate with other data sources.,Dødsårsagsregisteret,t_dodsaarsag_1,c_bobamt,County of the deceased's residence.,1970-2001,,,Den afdødes bopæls amt.
1,To validate with other data sources.,Dødsårsagsregisteret,t_dodsaarsag_1,c_bobamt,County of the deceased's residence.,"1979-1990, 1993-2001",,,Den afdødes bopæls amt.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_dod1,"The underlying cause of death (TD) is the disease, condition or event that starts and is a prerequisite for the inevitable further sequence of conditions leading to death. This general principle is common to natural and non-natural death. In general, TD can be identified by going back in the causal chain from the immediate cause of death. The underlying cause of death must always be stated on the death certificate. In the Cause of Death Register, the underlying cause of death is registered for persons who: • died in Denmark in the period from and with 1970 • had a Danish civil registration number • had an address in a Danish municipality at the time of death",1970-2001,"Changes in the definition The underlying cause of death has throughout the lifetime of the Cause of Death Register retained the same definition. There may be major or minor data breaks for the following reasons: 1. Change in classification: From 1970 until 1993, the WHO disease classification ICD8 has been used in Denmark When completing death certificates.From 1994 onwards, ICD10 is in use.This breach in the classification makes it difficult to make direct comparisons at the level of detail of register data between the period 1970 to 1993 and the period from 1994 onwards. The new Supervision Act required the survivors to explicitly say Yes to the autopsy, or that the deceased had previously clearly given consent (subject to the relatives' acceptance). decrease in the number of autopsies compared to previous years, so in the second half of 1990 only 16 per cent of fatal followed by an autopsy. This is to be compared with a percentage of 24 in the first half of 1990. The autopsy frequency did not decrease further in 1991, as the frequency for the whole year was 16 per cent. as in the second half of 1990. The forensic autopsies have been constant throughout the period from 1970 to 1991 at between 2 and 3 per cent. of all deaths. The observed decrease in the frequency of autopsies is solely due to a decrease in the medical autopsies. The decrease in the autopsy frequency has varied for age groups, county municipalities and cause of death diagnoses. The frequency of autopsies after deaths in children and adolescents has remained constant despite the requirement for consent. The low autopsy rate in the case of certain unexpected deaths and deaths will contribute to an explanation as to why the deaths are registered as an undisclosed cause of death. An earlier assessment of this group of deaths has shown that unless an autopsy is performed, there will most often be an over-registration of heart disease as the cause of death. In 1996, it has been preferred to state that the cause of death was undisclosed. This may be the explanation for the very high proportion of defective cause of death in 1996..3.Failure to obtain additional information. Throughout the years, additional information on the cause of death has been obtained from the attending physician. In the period from 1970 to 2001, this share has been between 5-10 per cent. 4. The order of stated diagnoses on the death certificate is incorrect for approx. 10 pct. of the cases of death certificates in the period 1980-1995. Just as often, information is missing about the duration of diseases and about the results of a possible autopsy. 5. Deaths with undisclosed cause of death in 1996In 1996, the number of deaths coded as undisclosed cause of death or as poorly defined conditions or symptoms was extremely high, a total of approx. 5,000 deaths. The deaths include the group of dead found who have not had contact with relatives or a doctor prior to the death, and where there is therefore very little or no information about any. disease, The group also consists of sudden deaths, where prior to the death there have been no disease symptoms. There are significant regional differences in the proportion of deaths classified as an undisclosed cause of death. The distribution appears from the publication The Causes of Death 1996, part 1.","Ændringer i definitionenDen tilgrundliggende dødsårsag har igennem hele Dødsårsagsregisterets levetid bevaret samme definition. Der kan forekomme større eller mindre databrud af følgende grunde:1.Skift i klassifikation: Fra 1970 og frem til 1993 er WHO’s sygdomsklassifikation ICD8 blevet anvendt i Danmark ved udfyldelse af dødsattester. Fra 1994 og frem er ICD10 i anvendelse. Dette brud i klassifikationen gør det vanskeligt at lave direkte sammenligninger på detaljeniveau for registerdata mellem perioden 1970 til 1993 og perioden fra 1994 og frem. 2.Obduktioner: Den 1. juli 1990 blev ligsynsloven ændret, hvor der blev indført et krav om samtykke. Den nye ligsynslov krævede, at de efterladte udtrykkeligt sagde ”Ja” til obduktion, eller at den afdøde tidligere klart havde givet accept (under forudsætning af pårørendes accept) . Dette medførte et brat fald i antallet af obduktioner i forhold til tidligere år. I andet halvår af 1990 blev således kun 16 pct. af dødsfaldende efterfulgt af en obduktion. Dette skal sammenlignes med en procent på 24 i første halvår af 1990. Obduktionsfrekvensen faldt ikke yderligere i 1991, idet frekvensen for hele året var 16 pct. som i andet halvår 1990. De retslægelige obduktioner har ligget konstant i hele perioden fra 1970 til 1991 på mellem 2 og 3 pct. af samtlige dødsfald. Det konstaterede fald i obduktionsfrekvensen skyldes udelukkende et fald i de lægelige obduktioner. Faldet i obduktionsfrekvensen har varieret for aldersgrupper, amtskommuner og dødsårsagsdiagnoser. Obduktionsfrekvensen efter dødsfald hos børn og unge har holdt sig konstant på trods af kravet om samtykke . Den lave obduktionsrate vil ved visse uventede dødsfald og dødfundne bidrage til forklaring på, hvorfor dødsfaldene er registeret som uoplyst dødsårsag. En tidligere vurdering af denne gruppe dødsfald har vist, at med mindre der foretages obduktion, vil der hyppigst være en overregistrering af hjertesygdom som dødsårsag. I 1996 har man foretrukket at angive, at dødsårsagen var uoplyst . Dette kan være forklaringen på den meget høje andel af mangelfuld dødsårsag i 1996..3.Manglende indhentning af supplerende oplysninger. Igennem alle år er der blevet indhentet supplerende oplysninger om dødsårsagen fra den attestudstedende læge. I perioden fra 1970 til 2001 har denne andel ligget mellem 5-10 pct. 4.Rækkefølgen af anførte diagnoser på dødsattesten er forkert i ca. 10 pct. af tilfældene for dødsattester i perioden 1980-1995. Ligeså hyppigt mangler oplysninger om sygdommes varighed og om resultaterne af en evt. obduktion. 5.Dødsfald med uoplyst dødsårsag i 1996I 1996 var antallet af dødsfald kodet som uoplyst dødsårsag eller som dårligt definerede tilstande eller symptomer særdeles højt, i alt ca. 5.000 dødsfald. Dødsfaldene omfatter gruppen af dødfundne, der ikke har haft kontakt til pårørende eller læge forud for dødsfaldet, og hvor der derfor er meget få eller ingen oplysninger om evt. sygdom, Gruppen består desuden af pludseligt indtrufne dødsfald, hvor der forud for dødsfaldet ikke har været nogen sygdomssymptomer. Der er betydelige regionale forskelle i andelen af dødsfald klassificeret som uoplyst dødsårsag. Fordelingen fremgår af publikationen Dødsårsagerne 1996, del 1.","Den tilgrundliggende dødsårsag (TD) er den sygdom, tilstand eller hændelse, der starter og er en forudsætning for den uafvendelige videre rækkefølge af tilstande, der fører til døden. Dette generelle princip er fælles for naturlig og ikke-naturlig død, hvorimod kodeanvendelsen er forskellig. Generelt kan TD identificeres ved at gå tilbage i årsagskæden fra den umiddelbare dødsårsag. Den tilgrundliggende dødsårsag skal altid angives på dødsattesten. I Dødårsagsregisteret er den tilgrundliggende dødsårsag registreret for personer, der: •er døde i Danmark i perioden fra og med 1970 •havde dansk cpr-nummer •havde adresse i en dansk kommune på dødstidspunktet"
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_1,c_dod2,Supplementary cause of death.,1970-2001,,,Supplerende årsag til dødsfaldet.
